Time,hsales
1987 Jan,53
1987 Feb,59
1987 Mar,73
1987 Apr,72
1987 May,62
1987 Jun,58
1987 Jul,55
1987 Aug,56
1987 Sep,52
1987 Oct,52
1987 Nov,43
1987 Dec,37
1988 Jan,43
1988 Feb,55
1988 Mar,68
1988 Apr,68
1988 May,64
1988 Jun,65
1988 Jul,57
1988 Aug,59
1988 Sep,54
1988 Oct,57
1988 Nov,43
1988 Dec,42
1989 Jan,52
1989 Feb,51
1989 Mar,58
1989 Apr,60
1989 May,61
1989 Jun,58
1989 Jul,62
1989 Aug,61
1989 Sep,49
1989 Oct,51
1989 Nov,47
1989 Dec,40
1990 Jan,45
1990 Feb,50
1990 Mar,58
1990 Apr,52
1990 May,50
1990 Jun,50
1990 Jul,46
1990 Aug,46
1990 Sep,38
1990 Oct,37
1990 Nov,34
1990 Dec,29
1991 Jan,30
1991 Feb,40
1991 Mar,46
1991 Apr,46
1991 May,47
1991 Jun,47
1991 Jul,43
1991 Aug,46
1991 Sep,37
1991 Oct,41
1991 Nov,39
1991 Dec,36
1992 Jan,48
1992 Feb,55
1992 Mar,56
1992 Apr,53
1992 May,52
1992 Jun,53
1992 Jul,52
1992 Aug,56
1992 Sep,51
1992 Oct,48
1992 Nov,42
1992 Dec,42
1993 Jan,44
1993 Feb,50
1993 Mar,60
1993 Apr,66
1993 May,58
1993 Jun,59
1993 Jul,55
1993 Aug,57
1993 Sep,57
1993 Oct,56
1993 Nov,53
1993 Dec,51
1994 Jan,45
1994 Feb,58
1994 Mar,74
1994 Apr,65
1994 May,65
1994 Jun,55
1994 Jul,52
1994 Aug,59
1994 Sep,54
1994 Oct,57
1994 Nov,45
1994 Dec,40
1995 Jan,47
1995 Feb,47
1995 Mar,60
1995 Apr,58
1995 May,63
1995 Jun,64
1995 Jul,64
1995 Aug,63
1995 Sep,55
1995 Oct,54
1995 Nov,44